ID,SpellShapeshiftFormID,CreatureDisplayInfoID,BarberShopMinCameraDistance,BarberShopHeightOffset
1,5,29413,1,0
2,5,29414,1,0
3,5,29415,1,0
4,5,29416,1,0
5,5,29417,1,0
6,5,66686,1,0
7,5,66687,1,0
8,5,66688,1,0
9,5,66682,1,0
10,1,892,1,0
11,1,29405,1,0
12,1,29406,1,0
13,1,29407,1,0
14,1,29408,1,0
15,5,33650,1,0
16,5,33651,1,0
17,5,33652,1,0
18,5,33653,1,0
19,5,33654,1,0
20,1,33660,1,0
21,1,33661,1,0
22,1,33662,1,0
23,1,33663,1,0
24,1,33664,1,0
25,4,2428,1,0.3
26,4,40815,1,0
27,4,87175,1,0
28,4,87174,1,0
30,3,40816,1,0
31,3,918,1,0
32,3,70450,1,0
34,27,21243,1,1.5
35,27,64328,1,1.5
36,27,20857,1,1.5
37,27,74305,0.6,0.8
38,27,37729,1,1.5
39,27,64330,1,1.5
40,27,37727,1,1.5
41,27,74307,0.6,0.8
42,5,29418,1,0
43,5,29419,1,0
44,5,29420,1,0
45,5,2289,1,0
46,5,29421,1,0
47,5,33656,1,0
48,5,33655,1,0
49,5,33659,1,0
50,5,33657,1,0
51,5,33658,1,0
52,5,80592,1,0
53,5,80595,1,0
54,5,80594,1,0
55,5,80591,1,0
56,5,85391,1,0
57,5,85390,1,0
58,5,85389,1,0
59,5,85388,1,0
60,5,84870,1,0
61,5,84869,1,0
62,5,84868,1,0
63,5,84867,1,0
64,1,29412,1,0
65,1,29409,1,0
66,1,8571,1,0
67,1,29411,1,0
68,1,29410,1,0
69,1,33665,1,0
70,1,33666,1,0
71,1,33667,1,0
72,1,33668,1,0
73,1,33669,1,0
74,1,80596,1,0
75,1,80597,1,0
76,1,80598,1,0
77,1,80599,1,0
78,1,85194,1,0
79,1,85195,1,0
80,1,85196,1,0
81,1,85197,1,0
82,1,86100,1,0
83,1,86524,1,0
84,1,86525,1,0
85,1,86526,1,0
86,5,66696,1,0
87,5,66697,1,0
88,5,66698,1,0
89,5,66699,1,0
90,5,66704,1,0
91,5,66705,1,0
92,5,66706,1,0
93,5,66707,1,0
94,5,66719,1,0
95,5,66718,1,0
96,5,66717,1,0
97,5,66716,1,0
98,5,66720,1,0
99,5,66721,1,0
100,5,66722,1,0
101,5,66723,1,0
102,5,74269,0.7,0
103,5,74270,0.7,0
104,5,74271,0.7,0
105,5,74272,0.7,0
106,1,66780,1,0
107,1,66775,1,0
108,1,66776,1,0
109,1,66781,1,0
110,1,66787,1,0
111,1,66786,1,0
112,1,66788,1,0
113,1,66789,1,0
114,1,66790,1,0
115,1,66791,1,0
116,1,66792,1,0
117,1,66793,1,0
118,1,66794,1,0
119,1,66795,1,0
120,1,66796,1,0
121,1,66797,1,0
122,1,66782,1,0
123,1,66783,1,0
124,1,66784,1,0
125,1,66785,1,0
126,1,69834,1,0
127,1,69835,1,0
128,1,69833,1,0
129,1,69832,1,0
130,1,38150,1,0
131,31,88976,1,0
132,31,88751,1,0
133,31,88752,1,0
134,31,88975,1,0
135,31,15375,1,0
136,31,89360,1,0
137,31,37173,1,0
138,31,37174,1,0
139,31,84820,1,0
140,31,15374,1,0
