ID,Flags,ExpansionID,MinLevel,MaxLevel,LowerBoundSemantics,UpperBoundSemantics,TargetLevelDelta,TargetLevelMaxDelta,TargetLevelMin,TargetLevelMax,MinItemLevel
1,0,-3,1,0,0,2,0,0,0,0,0
2,0,0,5,30,0,0,0,0,0,0,0
3,0,0,5,30,0,0,0,0,0,0,0
4,0,1,1,30,0,0,0,0,0,0,0
5,0,0,5,30,0,0,0,0,0,0,0
6,0,0,5,30,0,0,0,0,0,0,0
7,0,0,5,30,0,0,0,0,0,0,0
8,0,1,1,30,0,0,0,0,0,0,0
9,0,0,5,30,0,0,0,0,0,0,0
10,0,0,7,30,0,0,0,0,0,0,0
11,0,0,7,30,0,0,0,0,0,0,0
12,0,0,7,30,0,0,0,0,0,0,0
13,0,0,10,30,0,0,0,0,0,0,0
14,0,0,10,30,0,0,0,0,0,0,0
15,0,0,10,30,0,0,0,0,0,0,0
16,0,0,10,30,0,0,0,0,0,0,0
17,0,0,10,30,0,0,0,0,0,0,0
18,0,0,10,30,0,0,0,0,0,0,0
19,0,0,10,30,0,0,0,0,0,0,0
20,0,0,10,30,0,0,0,0,0,0,0
21,0,0,15,30,0,0,0,0,0,0,0
22,0,0,15,30,0,0,0,0,0,0,0
23,0,0,15,30,0,0,0,0,0,0,0
24,0,0,10,30,0,0,0,0,0,0,0
25,0,0,15,30,0,0,0,0,0,0,0
26,0,0,15,30,0,0,0,0,0,0,0
27,0,0,15,30,0,0,0,0,0,0,0
28,0,0,15,30,0,0,0,0,0,0,0
29,0,0,15,30,0,0,0,0,0,0,0
30,0,0,15,30,0,0,0,0,0,0,0
31,0,0,15,30,0,0,0,0,0,0,0
32,0,0,15,30,0,0,0,0,0,0,0
33,0,0,15,30,0,0,0,0,0,0,0
34,0,0,15,30,0,0,0,0,0,0,0
35,0,0,15,30,0,0,0,0,0,0,0
36,0,0,15,30,0,0,0,0,0,0,0
37,0,1,10,30,0,0,0,0,0,0,0
38,0,1,10,30,0,0,0,0,0,0,0
39,0,1,15,30,0,0,0,0,0,0,0
40,0,1,15,30,0,0,0,0,0,0,0
41,0,1,20,30,0,0,0,0,0,0,0
42,0,1,25,30,0,0,0,0,0,0,0
43,0,1,25,30,0,0,0,0,0,0,0
44,0,2,10,30,0,0,0,0,0,0,0
45,0,2,10,30,0,0,0,0,0,0,0
46,0,2,15,30,0,0,0,0,0,0,0
47,0,2,15,30,0,0,0,0,0,0,0
48,0,2,20,30,0,0,0,0,0,0,0
